StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,DistributionChannel,UserLanguage,consent,ORIENT_1_1,ORIENT_1_2,ORIENT_1_3,ORIENT_1_4,ORIENT_1_5,ORIENT_2_1,ORIENT_2_2,ORIENT_2_3,ORIENT_2_4,ORIENT_2_5,MISTRUST_EX_1,MISTRUST_EX_2,MISTRUST_EX_3,MISTRUST_EX_4,MISTRUST_EX_5,MISTRUST_EX_6,Q54_First Click,Q54_Last Click,Q54_Page Submit,Q54_Click Count,Q56_First Click,Q56_Last Click,Q56_Page Submit,Q56_Click Count,COMP_1,COMP_2,COMP_3,COMP_4,BENEV_1,BENEV_2,BENEV_3,BENEV_4,INTEG_1,INTEG_2,INTEG_3,INTEG_4,AD_TRUST_1,AD_TRUST_2,AD_TRUST_3,AD_TRUST_4,AD_TRUST_5,LIKE,AGREE,SELF_TAR,PERC_ID,SM_TRUST_1,SM_TRUST_2,REG_TRUST_1,DATA_ACCEPT,MEM_PAID,MEM_TAR,FIR_1,FIR_2,FIR_3,FIR_4,FIR_5,FIR_6,FIR_7,FIR_8,SM_USE_1,SM_USE_2,PARTY_IDENT,PARTY_IDENT_10_TEXT,LEFT_RIGHT,POL_INT,ELECT_PAR_1,ELECT_PAR_2,ELECT_PAR_3,ELECT_PAR_4,ELECT_PAR_5,ELECT_PAR_6,AGE,GENDER,EDUCATION,EDUCATION_6_TEXT,debrief,Condition
02/06/2023 11:48,02/06/2023 11:54,100,399,TRUE,02/06/2023 11:54,anonymous,EN,I understand the above statements and I consent to take part in the study,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,5.27,28.747,30.044,6,,,,,Disagree,Agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly disagree,Disagree,Neither like nor dislike,Neither agree or disagree,Not at all targeted at me,Neither left nor right leaning,Strongly disagree,Strongly disagree,Strongly disagree,Not at all acceptable,No,Yes,Neither agree nor disagree,Somewhat agree,Agree,Agree,Agree,Somewhat disagree,Disagree,Strongly disagree,Never,Never,Scottish National Party (SNP),,Neither left nor right leaning,Somewhat interested,"No, I have not","No, I have not","No, I have not","Yes, I have","No, I have not","No, I have not",61,Male,"Postgraduate (e.g., M.Sc or Ph.D)",,,0
02/06/2023 11:47,02/06/2023 11:54,100,458,TRUE,02/06/2023 11:54,anonymous,EN,I understand the above statements and I consent to take part in the study,Disagree,Agree,Disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,,,,,0,0,62.053,0,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither like nor dislike,Neither agree or disagree,Somewhat targeted,Neither left nor right leaning,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither acceptable nor unacceptable,No,Yes,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Never,Never,I don't identify with any political party,,I don't know,Not at all interested,"No, I have not","No, I have not","No, I have not","No, I have not","No, I have not","No, I have not",44,Female,"Undergraduate University (e.g., BA, B.Sc or B.Ed)",,,1
02/06/2023 11:45,02/06/2023 11:54,100,562,TRUE,02/06/2023 11:54,anonymous,EN,I understand the above statements and I consent to take part in the study,Disagree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,Disagree,Disagree,Strongly disagree,Disagree,Neither agree nor disagree,10.778,38.109,43.357,32,,,,,Agree,Disagree,Strongly disagree,Agree,Disagree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Like a great deal,Completely agree,Somewhat targeted,Neither left nor right leaning,Disagree,Disagree,Disagree,Not at all acceptable,No,No,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Never,Never,United Kingdom Independence Party (UKIP),,Slightly right leaning,Not at all interested,"No, I have not","No, I have not","No, I have not","No, I have not","No, I have not","No, I have not",18,Male,"A level, or equivelent",,,0
02/06/2023 11:48,02/06/2023 11:54,100,406,TRUE,02/06/2023 11:54,anonymous,EN,I understand the above statements and I consent to take part in the study,Somewhat disagree,Agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Disagree,Agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Disagree,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,0,0,46.551,0,,,,,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Disagree,Agree,Disagree,Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Agree,Disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Like somewhat,Somewhat agree,Somewhat targeted,Slightly left leaning,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither acceptable nor unacceptable,No,Yes,Disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Rarely,Rarely,Liberal Democrat,,Slightly left leaning,Somewhat interested,"No, I have not","No, I have not","No, I have not","No, I have not","No, I have not","No, I have not",56,Female,"Undergraduate University (e.g., BA, B.Sc or B.Ed)",,,0
02/06/2023 11:43,02/06/2023 11:55,100,685,TRUE,02/06/2023 11:55,anonymous,EN,I understand the above statements and I consent to take part in the study,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Neither agree nor disagree,Strongly agree,,,,,44.399,44.399,46.819,1,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither like nor dislike,Somewhat agree,Somewhat targeted,Slightly left leaning,Strongly disagree,Strongly disagree,Strongly disagree,Not at all acceptable,No,No,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Rarely,Rarely,Labour,,Slightly left leaning,Somewhat interested,"No, I have not","No, I have not","No, I have not","No, I have not","No, I have not","No, I have not",40,Female,"A level, or equivelent",,,1
02/06/2023 11:48,02/06/2023 11:55,100,390,TRUE,02/06/2023 11:55,anonymous,EN,I understand the above statements and I consent to take part in the study,Somewhat disagree,Somewhat agree,Disagree,Somewhat agree,Neither agree nor disagree,Disagree,Agree,Agree,Somewhat disagree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Strongly disagree,Disagree,Somewhat agree,1.716,15.908,53.482,4,,,,,Strongly disagree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Somewhat agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Dislike a great deal,Somewhat disagree,Mostly targeted,Fairly right leaning,Somewhat disagree,Disagree,Somewhat disagree,Mostly acceptable,No,No,Somewhat disagree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Disagree,Somewhat disagree,Somewhat disagree,slightly often,fairly often,Labour,,Slightly left leaning,Somewhat interested,"No, I have not","No, I have not","No, I have not","No, I have not","No, I have not","No, I have not",29,Male,"Undergraduate University (e.g., BA, B.Sc or B.Ed)",,,0
02/06/2023 11:47,02/06/2023 11:55,100,442,TRUE,02/06/2023 11:55,anonymous,EN,I understand the above statements and I consent to take part in the study,Somewhat disagree,Agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Disagree,Strongly agree,Agree,Somewhat disagree,Somewhat agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,,,,,29.538,52.345,56.059,4,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Disagree,Agree,Strongly disagree,Agree,Agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Agree,Disagree,Strongly agree,Agree,Agree,Like somewhat,Completely agree,Mostly targeted,Slightly left leaning,Disagree,Disagree,Somewhat disagree,Mostly acceptable,Yes,Yes,Somewhat disagree,Somewhat agree,Agree,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Rarely,Rarely,Labour,,Slightly left leaning,Mostly uninterested,"No, I have not","No, I have not","No, I have not","No, I have not","Yes, I have","No, I have not",23,Male,"Undergraduate University (e.g., BA, B.Sc or B.Ed)",,,1
02/06/2023 11:44,02/06/2023 11:55,100,663,TRUE,02/06/2023 11:55,anonymous,EN,I understand the above statements and I consent to take part in the study,Disagree,Strongly agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Disagree,Somewhat agree,,,,,23.033,23.033,81.949,1,Somewhat agree,Strongly disagree,Disagree,Somewhat agree,Disagree,Agree,Strongly disagree,Strongly agree,Agree,Disagree,Disagree,Agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Like somewhat,Somewhat agree,Mostly targeted,Fairly left leaning,Disagree,Somewhat disagree,Somewhat disagree,Mostly unacceptable ,Yes,Yes,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Rarely,Rarely,Labour,,Fairly left leaning,Somewhat interested,"No, I have not","No, I have not","No, I have not","Yes, I have","Yes, I have","No, I have not",45,Female,"A level, or equivelent",,,1
02/06/2023 11:49,02/06/2023 11:55,100,389,TRUE,02/06/2023 11:55,anonymous,EN,I understand the above statements and I consent to take part in the study,Strongly disagree,Strongly agree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,9.403,30.923,31.805,10,,,,,Agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Agree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Neither like nor dislike,Somewhat agree,Completely targeted at me,Strongly left leaning,Somewhat agree,Strongly disagree,Strongly disagree,Not at all acceptable,No,Yes,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Disagree,Disagree,Agree,Never,Never,I don't identify with any political party,,Strongly left leaning,Not at all interested,"No, I have not","No, I have not","No, I have not","No, I have not","No, I have not","No, I have not",30,Female,"Undergraduate University (e.g., BA, B.Sc or B.Ed)",,,0
02/06/2023 11:41,02/06/2023 11:55,100,829,TRUE,02/06/2023 11:55,anonymous,EN,I understand the above statements and I consent to take part in the study,Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Agree,0,0,91.046,0,,,,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither like nor dislike,Somewhat agree,Somewhat targeted,Neither left nor right leaning,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat unacceptable,No,No,Neither agree nor disagree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,slightly often,slightly often,Labour,,Fairly left leaning,Somewhat interested,"No, I have not","No, I have not","No, I have not","No, I have not","Yes, I have","No, I have not",65,Female,"GCSE level, or equivelent",,,0
